"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestResources_UpdateSavedQuery_QueryBelongsToAnotherUser","0","TestResources_UpdateSavedQuery_QueryBelongsToAnotherUser","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_QueryBelongsToAnotherUser","TestResources_UpdateSavedQuery_QueryBelongsToAnotherUser"
"Test cases for TestResources_ListADGroupMembership","7","TestResources_ListADGroupMembership","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADGroupMembership","TestResources_ListADGroupMembership"
"","37","Gets focus on keyboard shortcut","SearchBar","Mon Jan 26 22:01:36 UTC 2026","passed","Mon Jan 26 22:01:36 UTC 2026","","","",""
"Test cases for TestResources_GetCollectorManifest","0","TestResources_GetCollectorManifest","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetCollectorManifest","TestResources_GetCollectorManifest"
"","64","initializes search tab to the exploreSearchTab on initial render","ExploreSearch sets searchType on tab changing","Mon Jan 26 22:02:16 UTC 2026","passed","Mon Jan 26 22:02:16 UTC 2026","","","",""
"","243","should render a single section with a single navigation item","SubNav","Mon Jan 26 22:00:42 UTC 2026","passed","Mon Jan 26 22:00:43 UTC 2026","","","",""
"","227","should display ""Cancel"" button","Enable2FADialog","Mon Jan 26 22:00:26 UTC 2026","passed","Mon Jan 26 22:00:27 UTC 2026","","","",""
"","363","renders","ObjectsAccordion","Mon Jan 26 21:59:46 UTC 2026","passed","Mon Jan 26 21:59:46 UTC 2026","","","",""
"Test cases for TestURLJoinPathNoPrefix","0","TestURLJoinPathNoPrefix","","Mon Jan 26 21:56:43 UTC 2026","passed","Mon Jan 26 21:56:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestURLJoinPathNoPrefix","TestURLJoinPathNoPrefix"
"","8","renders without pulse animation by default","StatusIndicator","Mon Jan 26 22:01:39 UTC 2026","passed","Mon Jan 26 22:01:39 UTC 2026","","","",""
"","70","should not display a badge when role based filtering is true and show filter banner is false by default","EntityInfoPanel","Mon Jan 26 22:00:52 UTC 2026","passed","Mon Jan 26 22:00:52 UTC 2026","","","",""
"","61","shows an error notification if there is an error fetching","useFinishedJobs","Mon Jan 26 21:59:12 UTC 2026","passed","Mon Jan 26 21:59:12 UTC 2026","","","",""
"","276","sets the calendar date to match the valid","ManagedDatePicker - value","Mon Jan 26 21:59:32 UTC 2026","passed","Mon Jan 26 21:59:33 UTC 2026","","","",""
"Test cases for TestIsValidEmail","0","TestIsValidEmail","","Mon Jan 26 21:57:17 UTC 2026","passed","Mon Jan 26 21:57:17 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestIsValidEmail","TestIsValidEmail"
"","494","renders trigger button and dropdown items","TagToZoneLabel","Mon Jan 26 21:57:44 UTC 2026","passed","Mon Jan 26 21:57:45 UTC 2026","","","",""
