"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","94","returns Tag Object counts when there is a Tag selected but no Rule selected (ruleId is undefined from path params)","useObjectCounts","Mon Jan 26 22:01:21 UTC 2026","passed","Mon Jan 26 22:01:21 UTC 2026","","","",""
"","0","fails for password without lowercase letters","testPassword","Mon Jan 26 22:01:46 UTC 2026","passed","Mon Jan 26 22:01:46 UTC 2026","","","",""
"Test cases for TestManagementResource_UpdateUser_LookupActiveSessionsError","844","TestManagementResource_UpdateUser_LookupActiveSessionsError","","Mon Jan 26 21:57:15 UTC 2026","passed","Mon Jan 26 21:57:16 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_UpdateUser_LookupActiveSessionsError","TestManagementResource_UpdateUser_LookupActiveSessionsError"
"","60","returns false on 404","useGraphHasData","Mon Jan 26 22:01:15 UTC 2026","passed","Mon Jan 26 22:01:15 UTC 2026","","","",""
"Test cases for TestResources_ExportSavedQueries","20","TestResources_ExportSavedQueries","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ExportSavedQueries","TestResources_ExportSavedQueries"
"Test cases for TestManagementResource_ListPermissions_DBError","0","TestManagementResource_ListPermissions_DBError","","Mon Jan 26 21:57:02 UTC 2026","passed","Mon Jan 26 21:57:02 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListPermissions_DBError","TestManagementResource_ListPermissions_DBError"
"Test cases for TestArgon2_Digest","3","TestArgon2_Digest","","Mon Jan 26 21:57:23 UTC 2026","passed","Mon Jan 26 21:57:23 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/crypto/TestArgon2_Digest","TestArgon2_Digest"
"Test cases for TestRequiredValidator","0","TestRequiredValidator","","Mon Jan 26 21:57:18 UTC 2026","passed","Mon Jan 26 21:57:18 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/validation/TestRequiredValidator","TestRequiredValidator"
"","472","should close the dialog when the Cancel button is clicked","Privilege Zones History Filter Dialog","Mon Jan 26 21:59:15 UTC 2026","passed","Mon Jan 26 21:59:15 UTC 2026","","","",""
"","199","calls setExploreParams with only the expandedSection label when selecting any accordion that is not composition","EdgeInfoContent","Mon Jan 26 21:57:51 UTC 2026","passed","Mon Jan 26 21:57:51 UTC 2026","","EdgeInfoContent support for Deep Linking","",""
"Test cases for TestResources_ListAssetGroupMembers","1","TestResources_ListAssetGroupMembers","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAssetGroupMembers","TestResources_ListAssetGroupMembers"
"Test cases for TestSignRequestValuesUnsupportedHMACMethod","0","TestSignRequestValuesUnsupportedHMACMethod","","Mon Jan 26 21:56:42 UTC 2026","passed","Mon Jan 26 21:56:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestSignRequestValuesUnsupportedHMACMethod","TestSignRequestValuesUnsupportedHMACMethod"
"","133","buttons are disabled while loading","OneTimePasscodeForm","Mon Jan 26 22:01:02 UTC 2026","passed","Mon Jan 26 22:01:02 UTC 2026","","","",""
"Test cases for TestOverwriteQueryParamIfHeaderAndParamExist","2","TestOverwriteQueryParamIfHeaderAndParamExist","","Mon Jan 26 21:57:18 UTC 2026","passed","Mon Jan 26 21:57:18 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/test/TestOverwriteQueryParamIfHeaderAndParamExist","TestOverwriteQueryParamIfHeaderAndParamExist"
"Test cases for TestResources_ListADDomainForeignGroups","0","TestResources_ListADDomainForeignGroups","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADDomainForeignGroups","TestResources_ListADDomainForeignGroups"
"","20","whencreated","Handling value formatting for Active Directory entity properties lastlogon, lastlogontimestamp, whencreated, and pwdlastset","Mon Jan 26 21:58:43 UTC 2026","passed","Mon Jan 26 21:58:44 UTC 2026","","","",""
"","93","calls onConfirm when confirm button clicked","EarlyAccessFeaturesWarningDialog","Mon Jan 26 22:02:55 UTC 2026","passed","Mon Jan 26 22:02:55 UTC 2026","","","",""
"Test cases for TestManagementResource_GetPermission","41416","TestManagementResource_GetPermission","","Mon Jan 26 21:57:02 UTC 2026","passed","Mon Jan 26 21:57:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_GetPermission","TestManagementResource_GetPermission"
"Test cases for TestResources_GetEdgeACLInheritancePath","79","TestResources_GetEdgeACLInheritancePath","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetEdgeACLInheritancePath","TestResources_GetEdgeACLInheritancePath"
"","39","initializes the list with all filters checked by default","usePathfindingFilters","Mon Jan 26 22:01:13 UTC 2026","passed","Mon Jan 26 22:01:13 UTC 2026","","","",""
"","288","sets a primarySearch=id and searchType=node when secondarySearch is falsey","ContextMenu","Mon Jan 26 21:58:22 UTC 2026","passed","Mon Jan 26 21:58:22 UTC 2026","","","",""
"","0","runs a pathfinding search when the query param is set to ""pathfinding""","useExploreGraph","Mon Jan 26 21:59:08 UTC 2026","passed","Mon Jan 26 21:59:08 UTC 2026","","exploreGraphQueryFactory","",""
"Test cases for TestResources_ListCAPKIHierarchy","1","TestResources_ListCAPKIHierarchy","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListCAPKIHierarchy","TestResources_ListCAPKIHierarchy"
"Test cases for TestConvertComputerToNode","0","TestConvertComputerToNode","","Mon Jan 26 21:57:23 UTC 2026","passed","Mon Jan 26 21:57:23 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestConvertComputerToNode","TestConvertComputerToNode"
"","2469","Sort arrow is visible and direction is correct","ExploreTable","Mon Jan 26 21:57:41 UTC 2026","passed","Mon Jan 26 21:57:43 UTC 2026","","","",""
"","192","renders a confirm dialg","ConfirmDeleteQueryDialog","Mon Jan 26 22:01:39 UTC 2026","passed","Mon Jan 26 22:01:39 UTC 2026","","","",""
"Test cases for Test_cacheQueryResult","0","Test_cacheQueryResult","","Mon Jan 26 21:57:04 UTC 2026","passed","Mon Jan 26 21:57:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/Test_cacheQueryResult","Test_cacheQueryResult"
"","44","renders three animated dots","ProcessingIndicator","Mon Jan 26 22:01:46 UTC 2026","passed","Mon Jan 26 22:01:46 UTC 2026","","","",""
"Test cases for TestResources_UpdateAssetGroupTag","2","TestResources_UpdateAssetGroupTag","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateAssetGroupTag","TestResources_UpdateAssetGroupTag"
"","806","displays validation error messages when password does not match confirmation","PasswordDialog","Mon Jan 26 21:57:55 UTC 2026","passed","Mon Jan 26 21:57:55 UTC 2026","","","",""
"","0","fails for password without uppercase letters","testPassword","Mon Jan 26 22:01:46 UTC 2026","passed","Mon Jan 26 22:01:46 UTC 2026","","","",""
"Test cases for TestToolContainer_GetScheduledAnalysisConfiguration_Errors","1","TestToolContainer_GetScheduledAnalysisConfiguration_Errors","","Mon Jan 26 21:56:52 UTC 2026","passed","Mon Jan 26 21:56:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/tools/TestToolContainer_GetScheduledAnalysisConfiguration_Errors","TestToolContainer_GetScheduledAnalysisConfiguration_Errors"
"","6","should render when search string is not found in the text","HighlightedText","Mon Jan 26 22:01:03 UTC 2026","passed","Mon Jan 26 22:01:03 UTC 2026","","","",""
"","230","should call the onClick function when clicked","GraphButton","Mon Jan 26 22:01:49 UTC 2026","passed","Mon Jan 26 22:01:49 UTC 2026","","","",""
"","43","adds a notification - checks values","AppNotifications","Mon Jan 26 22:00:31 UTC 2026","passed","Mon Jan 26 22:00:31 UTC 2026","","","",""
"Test cases for TestIntValueOrZero","0","TestIntValueOrZero","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestIntValueOrZero","TestIntValueOrZero"
"Test cases for TestNewAuditLog","0","TestNewAuditLog","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/TestNewAuditLog","TestNewAuditLog"
"","218","displays expected results when searching by objectid","SearchCurrentNodes","Mon Jan 26 21:59:53 UTC 2026","passed","Mon Jan 26 21:59:53 UTC 2026","","","",""
"","0","does not abbreviate numbers < 1000","numberFormatting","Mon Jan 26 22:01:34 UTC 2026","passed","Mon Jan 26 22:01:34 UTC 2026","","","",""
"Test cases for TestPermissionsCheckAtLeastOne","0","TestPermissionsCheckAtLeastOne","","Mon Jan 26 21:56:47 UTC 2026","passed","Mon Jan 26 21:56:47 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestPermissionsCheckAtLeastOne","TestPermissionsCheckAtLeastOne"
"Test cases for TestResources_ListADEntityLinkedGPOs","0","TestResources_ListADEntityLinkedGPOs","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADEntityLinkedGPOs","TestResources_ListADEntityLinkedGPOs"
"","28","renders a button","CreateMenu","Mon Jan 26 21:58:36 UTC 2026","passed","Mon Jan 26 21:58:36 UTC 2026","","oidc_support feature flag disabled","",""
"","219","shows the direct object and expanded object list when results are present for both","Seed Selection Results","Mon Jan 26 21:58:21 UTC 2026","passed","Mon Jan 26 21:58:21 UTC 2026","","","",""
"","0","returns undefined if graphData is %s or not a GraphResponse","getExploreTableData","Mon Jan 26 21:59:42 UTC 2026","passed","Mon Jan 26 21:59:42 UTC 2026","","","",""
"Test cases for TestUnmarshalTimeJSON","0","TestUnmarshalTimeJSON","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalTimeJSON","TestUnmarshalTimeJSON"
"Test cases for TestNewManifest","1","TestNewManifest","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/migration/TestNewManifest","TestNewManifest"
"","39","Error handling for fetching edge information","EdgeObjectInformation","Mon Jan 26 21:59:57 UTC 2026","passed","Mon Jan 26 21:59:57 UTC 2026","","","",""
"Test cases for TestIntFromPtr","0","TestIntFromPtr","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestIntFromPtr","TestIntFromPtr"
"","343","disables checkboxes by default","SourceKindsCheckboxes","Mon Jan 26 21:59:05 UTC 2026","passed","Mon Jan 26 21:59:05 UTC 2026","","","",""
"Test cases for TestResources_DownloadCollectorByVersion","1","TestResources_DownloadCollectorByVersion","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DownloadCollectorByVersion","TestResources_DownloadCollectorByVersion"
"","1292","when user performs a pathfinding search, the selection for the start node is carried over to the `search` tab","ExploreSearch interaction","Mon Jan 26 22:02:17 UTC 2026","passed","Mon Jan 26 22:02:19 UTC 2026","","","",""
"Test cases for TestCreateUser_Failure","0","TestCreateUser_Failure","","Mon Jan 26 21:57:02 UTC 2026","passed","Mon Jan 26 21:57:02 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestCreateUser_Failure","TestCreateUser_Failure"
"","217","should render","NoDataDialog","Mon Jan 26 22:01:43 UTC 2026","passed","Mon Jan 26 22:01:43 UTC 2026","","","",""
"Test cases for TestResources_CreateAssetGroup","1","TestResources_CreateAssetGroup","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_CreateAssetGroup","TestResources_CreateAssetGroup"
"","0","returns query config when searchType is composition and all required params are passed","useExploreGraph","Mon Jan 26 21:59:08 UTC 2026","passed","Mon Jan 26 21:59:08 UTC 2026","composition search queries","exploreGraphQueryFactory","",""
"","0","should compute the length of a line segment","bezier","Mon Jan 26 22:02:36 UTC 2026","passed","Mon Jan 26 22:02:36 UTC 2026","","","",""
"","7","does not render highlight for non-active tag","SelectedHighlight","Mon Jan 26 22:00:54 UTC 2026","passed","Mon Jan 26 22:00:54 UTC 2026","","","",""
"","268","closes","ListItemActionMenu","Mon Jan 26 22:00:18 UTC 2026","passed","Mon Jan 26 22:00:18 UTC 2026","","","",""
"Test cases for TestOpenGraphSchemaService_UpsertGraphSchemaExtension","0","TestOpenGraphSchemaService_UpsertGraphSchemaExtension","","Mon Jan 26 21:57:08 UTC 2026","passed","Mon Jan 26 21:57:08 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/opengraphschema/TestOpenGraphSchemaService_UpsertGraphSchemaExtension","TestOpenGraphSchemaService_UpsertGraphSchemaExtension"
"","183","opens when keyboard shortcut is pressed","GraphControls","Mon Jan 26 21:58:15 UTC 2026","passed","Mon Jan 26 21:58:16 UTC 2026","","Searching current results","",""
"Test cases for TestIntPointer","0","TestIntPointer","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestIntPointer","TestIntPointer"
"Test cases for TestWriteErrorResponse_V2","1","TestWriteErrorResponse_V2","","Mon Jan 26 21:56:43 UTC 2026","passed","Mon Jan 26 21:56:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestWriteErrorResponse_V2","TestWriteErrorResponse_V2"
"","85","renders the Cypher Rules Panel when clicking the Rule Tab","Selected Details Tab Content","Mon Jan 26 22:00:58 UTC 2026","passed","Mon Jan 26 22:00:58 UTC 2026","","","",""
"","841","clicking checkbox will remove error if present","DatabaseManagement","Mon Jan 26 22:02:22 UTC 2026","passed","Mon Jan 26 22:02:23 UTC 2026","","","",""
"","385","should render an SavedQueryPermissions component","SavedQueryPermissions","Mon Jan 26 22:00:04 UTC 2026","passed","Mon Jan 26 22:00:05 UTC 2026","","","",""
"","266","should disable Cancel and Save buttons while isLoading is true","UpdateUserDialog","Mon Jan 26 21:58:06 UTC 2026","passed","Mon Jan 26 21:58:06 UTC 2026","","","",""
"","430","renders the Import Query Dialog","ImportQueryDialog","Mon Jan 26 22:01:37 UTC 2026","passed","Mon Jan 26 22:01:38 UTC 2026","","","",""
"","86","List Display Roles Hook is Loading","useListDisplayRoles","Mon Jan 26 21:58:17 UTC 2026","passed","Mon Jan 26 21:58:17 UTC 2026","","","",""
"Test cases for TestResources_ListADGPOAffectedComputers","0","TestResources_ListADGPOAffectedComputers","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADGPOAffectedComputers","TestResources_ListADGPOAffectedComputers"
"Test cases for TestStringScan","0","TestStringScan","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestStringScan","TestStringScan"
"","7","should render when search string matches text entirely","HighlightedText","Mon Jan 26 22:01:03 UTC 2026","passed","Mon Jan 26 22:01:03 UTC 2026","","","",""
"","131","should display an error when error prop is truthy","SaveQueryDialog","Mon Jan 26 21:57:37 UTC 2026","passed","Mon Jan 26 21:57:37 UTC 2026","","","",""
"","131","renders when all data is available and rule is not default","Delete Selector Button rendering","Mon Jan 26 22:01:28 UTC 2026","passed","Mon Jan 26 22:01:28 UTC 2026","","","",""
"Test cases for TestManagementResource_OIDCLoginHandler","5","TestManagementResource_OIDCLoginHandler","","Mon Jan 26 21:57:43 UTC 2026","passed","Mon Jan 26 21:57:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_OIDCLoginHandler","TestManagementResource_OIDCLoginHandler"
"","826","should call onSave when save button is clicked","SaveQueryDialog","Mon Jan 26 21:57:36 UTC 2026","passed","Mon Jan 26 21:57:37 UTC 2026","","","",""
"Test cases for TestJSONFloat_UnmarshalJSON","0","TestJSONFloat_UnmarshalJSON","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/nan/TestJSONFloat_UnmarshalJSON","TestJSONFloat_UnmarshalJSON"
"","14198","checking a category updates all children and grandchildren","Pathfinding","Mon Jan 26 21:58:56 UTC 2026","passed","Mon Jan 26 21:59:10 UTC 2026","","","",""
"Test cases for TestResources_SearchAssetGroupTagHistory","107","TestResources_SearchAssetGroupTagHistory","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_SearchAssetGroupTagHistory","TestResources_SearchAssetGroupTagHistory"
"","2","returns null if paramValue is +0","useEnvironmentParams","Mon Jan 26 22:01:45 UTC 2026","passed","Mon Jan 26 22:01:45 UTC 2026","","parseEnvironmentAggregation","",""
"Test cases for TestFilter","0","TestFilter","","Mon Jan 26 21:57:38 UTC 2026","passed","Mon Jan 26 21:57:38 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/TestFilter","TestFilter"
"","564","renders the form for creating a new rule","Rule Form","Mon Jan 26 21:57:49 UTC 2026","passed","Mon Jan 26 21:57:50 UTC 2026","","","",""
"Test cases for TestInt64Equal","1","TestInt64Equal","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestInt64Equal","TestInt64Equal"
"Test cases for TestParseKinds","1","TestParseKinds","","Mon Jan 26 21:57:18 UTC 2026","passed","Mon Jan 26 21:57:18 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/TestParseKinds","TestParseKinds"
"","8","renders Owned text by default when no Label Selector is available and on a Label page","TagSelector","Mon Jan 26 21:59:58 UTC 2026","passed","Mon Jan 26 21:59:58 UTC 2026","","","",""
"","3","returns a date string only if passed a string with a matching key","Formatting strings via formatPrimive","Mon Jan 26 21:58:44 UTC 2026","passed","Mon Jan 26 21:58:44 UTC 2026","","","",""
"Test cases for TestResources_GetPathfindingResult","0","TestResources_GetPathfindingResult","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetPathfindingResult","TestResources_GetPathfindingResult"
"","2","should return null if the edge key does not have enough information","getEdgeDataFromKey","Mon Jan 26 22:02:51 UTC 2026","passed","Mon Jan 26 22:02:51 UTC 2026","","","",""
"","0","returns paramValue as EnvironmentAggregation if paramValue is all","useEnvironmentParams","Mon Jan 26 22:01:45 UTC 2026","passed","Mon Jan 26 22:01:45 UTC 2026","","parseEnvironmentAggregation","",""
"TestManifest_AddMigration tests that migrations are added to the correct locationwithin the migration map and in the correct order.","0","TestManifest_AddMigration","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/migration/TestManifest_AddMigration","TestManifest_AddMigration"
"Test cases for TestResources_EndIngestJob","80","TestResources_EndIngestJob","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_EndIngestJob","TestResources_EndIngestJob"
"","0","Fetching the data timed out","Getting the text for the disabled item display for a search when there are no results","Mon Jan 26 21:59:49 UTC 2026","passed","Mon Jan 26 21:59:49 UTC 2026","","Error states","",""
"","1","handles null or empty madeBy","createHistoryParams","Mon Jan 26 22:00:49 UTC 2026","passed","Mon Jan 26 22:00:49 UTC 2026","","","",""
"","6","does not render when selector data is not defined","Delete Selector Button rendering","Mon Jan 26 22:01:28 UTC 2026","passed","Mon Jan 26 22:01:28 UTC 2026","","","",""
"Test cases for TestQueries_BuildEntityQueryParams_InvalidLimit","0","TestQueries_BuildEntityQueryParams_InvalidLimit","","Mon Jan 26 21:57:04 UTC 2026","passed","Mon Jan 26 21:57:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/TestQueries_BuildEntityQueryParams_InvalidLimit","TestQueries_BuildEntityQueryParams_InvalidLimit"
"Test cases for TestURLJoinPathEscapesSlashes","0","TestURLJoinPathEscapesSlashes","","Mon Jan 26 21:56:43 UTC 2026","passed","Mon Jan 26 21:56:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestURLJoinPathEscapesSlashes","TestURLJoinPathEscapesSlashes"
"Test cases for TestResources_DeleteSavedQuery","0","TestResources_DeleteSavedQuery","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteSavedQuery","TestResources_DeleteSavedQuery"
"","532","displays current password error messages when current password is empty","PasswordDialog","Mon Jan 26 21:57:55 UTC 2026","passed","Mon Jan 26 21:57:56 UTC 2026","","","",""
"","0","succeeds for valid password with unicode characters","testPassword","Mon Jan 26 22:01:46 UTC 2026","passed","Mon Jan 26 22:01:46 UTC 2026","","","",""
"Test cases for TestDisenrollMFA_Admin_SuccessNoPasswordSSO","946","TestDisenrollMFA_Admin_SuccessNoPasswordSSO","","Mon Jan 26 21:57:38 UTC 2026","passed","Mon Jan 26 21:57:39 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestDisenrollMFA_Admin_SuccessNoPasswordSSO","TestDisenrollMFA_Admin_SuccessNoPasswordSSO"
"Test cases for TestMap","0","TestMap","","Mon Jan 26 21:57:38 UTC 2026","passed","Mon Jan 26 21:57:38 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/TestMap","TestMap"
"Test cases for TestUnmarshalInt64OverflowToInt64","0","TestUnmarshalInt64OverflowToInt64","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalInt64OverflowToInt64","TestUnmarshalInt64OverflowToInt64"
"Test cases for TestDisenrollMFA_Success","1751","TestDisenrollMFA_Success","","Mon Jan 26 21:57:32 UTC 2026","passed","Mon Jan 26 21:57:33 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestDisenrollMFA_Success","TestDisenrollMFA_Success"
"Test cases for TestWriteErrorResponse_InvalidFormat","0","TestWriteErrorResponse_InvalidFormat","","Mon Jan 26 21:56:43 UTC 2026","passed","Mon Jan 26 21:56:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestWriteErrorResponse_InvalidFormat","TestWriteErrorResponse_InvalidFormat"
"","23","should highlight selected route","Main Nav Route Highlighting","Mon Jan 26 21:58:13 UTC 2026","passed","Mon Jan 26 21:58:13 UTC 2026","","","",""
"Test cases for TestValidateTOTPSecret","0","TestValidateTOTPSecret","","Mon Jan 26 21:56:56 UTC 2026","passed","Mon Jan 26 21:56:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/auth/TestValidateTOTPSecret","TestValidateTOTPSecret"
"Test cases for TestManagementResource_DeleteUser_GetUserError","1","TestManagementResource_DeleteUser_GetUserError","","Mon Jan 26 21:57:18 UTC 2026","passed","Mon Jan 26 21:57:18 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_DeleteUser_GetUserError","TestManagementResource_DeleteUser_GetUserError"
"","1852","displays a list of available sharphound and azurehound files to download","DownloadCollectors","Mon Jan 26 22:02:12 UTC 2026","passed","Mon Jan 26 22:02:14 UTC 2026","","","",""
"","1","returns false when WebGL is not available in the current browser context","WebGL compatibility check","Mon Jan 26 22:01:53 UTC 2026","passed","Mon Jan 26 22:01:53 UTC 2026","","","",""
"Test cases for TestEndNodes","0","TestEndNodes","","Mon Jan 26 21:57:21 UTC 2026","passed","Mon Jan 26 21:57:21 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/azure/TestEndNodes","TestEndNodes"
"","127","should display the ""User Information"" header","UserProfile","Mon Jan 26 21:59:28 UTC 2026","passed","Mon Jan 26 21:59:29 UTC 2026","","","",""
"Test cases for TestResources_ListADDomainForeignAdmins","0","TestResources_ListADDomainForeignAdmins","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADDomainForeignAdmins","TestResources_ListADDomainForeignAdmins"
"Test cases for TestManagementResource_SAMLCallbackRedirect","5","TestManagementResource_SAMLCallbackRedirect","","Mon Jan 26 21:57:43 UTC 2026","passed","Mon Jan 26 21:57:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_SAMLCallbackRedirect","TestManagementResource_SAMLCallbackRedirect"
"","2","returns true if value is undefined","searchParams","Mon Jan 26 22:00:17 UTC 2026","passed","Mon Jan 26 22:00:17 UTC 2026","","isEmptyParam","",""
"Test cases for TestResources_GetAssetGroupTagMemberInfo","1","TestResources_GetAssetGroupTagMemberInfo","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAssetGroupTagMemberInfo","TestResources_GetAssetGroupTagMemberInfo"
"","270","displays expected results when searching by label","SearchCurrentNodes","Mon Jan 26 21:59:53 UTC 2026","passed","Mon Jan 26 21:59:53 UTC 2026","","","",""
"","67","renders Tier Zero text by default when no Zone Selector is available and on a Zone page","TagSelector","Mon Jan 26 21:59:58 UTC 2026","passed","Mon Jan 26 21:59:58 UTC 2026","","","",""
"Test cases for TestResources_ListADOUContainedGroups","4","TestResources_ListADOUContainedGroups","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADOUContainedGroups","TestResources_ListADOUContainedGroups"
"","224","Selecting an edge that meets ACL inheritance criteria shows the ""ACE Inherited From"" dropdown","EdgeInfoContent","Mon Jan 26 21:57:51 UTC 2026","passed","Mon Jan 26 21:57:51 UTC 2026","","","",""
